score,user_rating,elastic_score,isbn,book_title,book_author,year_of_publication,publisher,summary,category
7.004565032222403,5,9.209586567667047,1551666243,Man With A Past,Jayne Ann Krentz,2000,Mira,"Man With A Past by Jayne Ann Krentz released on Nov 24, 2000 is
available now for purchase.",['fiction']
7.004565032222403,5,9.209586567667047,0806505486,Rights of Man,Thomas Paine,1991,Citadel Press,"Rights of Man is a classic statement of the belief in humanity&#39;s
potential to change the world for the better.",['political science']
7.000219806711683,5,9.200461594094534,0312862067,Shadow Man (Shadow Man),Melissa Scott,1996,Tor Books,"Living on a planet where one&#39;s sex is a matter of choice,
Warreven, whose decision to be a man precluded his marriage to the
planet&#39;s prince, suffers a bizarre identity crisis",['fiction']
7.000219806711683,5,9.200461594094534,1931514658,The Skull Man (Skull Man),Kazuhiko Shimamoto,2002,Tokyopop,"In an unjust world, the Skull Man will use any means necessary to get
the vengeance he seeks! Experience the final story by manga legend
Shotaro Ishinomori, creator of Masked Rider and Cyborg 009.",['juvenile fiction']
6.978587749624412,5,9.155034274211266,0373763212,"Dakota Man (Man Of The Month) (Desire, 1321)",Joan Hohl,2000,Silhouette,"The Dakota Man by Joan Hohl released on Sep 22, 2000 is available now
for purchase.",['fiction']
6.972392241044419,5,9.142023706193282,0385480539,The Burning Man,Phillip Margolin,1996,Bantam Dell Pub Group,"An arrogant attorney attempts to improve his character by becoming the
public defender of a retarded man on trial for murder",['fiction']
6.972392241044419,5,9.142023706193282,0061263265,The Pony Man,Gordon Lightfoot,1972,Harpercollins Library,"The pony man comes at midnight to take the children for a ride to Mr.
Moon&#39;s front door.","[""children's poetry, english""]"
6.972392241044419,5,9.142023706193282,0553477390,The Burning Man,Phillip Margolin,1996,Random House Audio,"An arrogant attorney attempts to improve his character by becoming the
public defender of a retarded man on trial for murder.",['fiction']
6.942588158042408,5,9.079435131889058,1573060534,Musubi Man: Hawaii's Gingerbread Man,Sandi Takayama,1997,"Bess Press, Inc.","A freshly made musubi man escapes from an old woman&#39;s kitchen and
eludes his pursuers in this Hawaiian version of the Gingerbread boy.",['juvenile fiction']
6.941727344106068,5,9.077627422622744,0679768165,The First Man,ALBERT CAMUS,1996,Vintage,"Traces the story of Jacques Cormery, a young man who rises above the
losses and misfortunes of his childhood in Algeria",['fiction']
6.937984411672945,5,9.069767264513185,0064410730,Spider-Man: The Adventures of Spider-Man (Spider-Man),Michael Teitelbaum,2002,HarperFestival,"Featuring full-color images from the live-action film, an exciting
junior novelization details Peter Parker&#39;s metamorphosis into
Spider-Man after being bitten by a genetically mutated arachnid.
Original.",['juvenile fiction']
6.9213552087424155,5,9.034845938359073,0064408884,Skeleton Man,Joseph Bruchac,2003,HarperTrophy,"Who is this spooky old man who&#39;s taken her to live with him,
claiming to be her great-uncle? Why does he never eat, and why does he
lock her in her room at night? What are her dreams of the Skeleton Man
trying to tell her?",['juvenile fiction']
6.8845153811385815,5,8.957482300391021,0803281951,Man of the Family,Ralph Moody,1993,University of Nebraska Press,"Man of the Family continues true pioneering adventures as
unforgettable as those in Little Britches and The Fields of Home, also
available as Bison Books.",['fiction']
6.8825539081615,5,8.953363207139152,0671555022,MAN KILLED DEER,Frank Waters,1984,Pocket,"A novel of a Pueblo Indian caught between the ritual ways of his tribe
and the alien 20th-century world of the white man, this is the story
of a man who lives as a stranger in both.",['fiction']
6.863707996944521,5,8.913786793583496,0312964870,The Stalking Man (Stalking Man),William J. Coughlin,1998,St. Martin's Press,"Following a twisted trail of blood, The Stalking Man hunts women in
cities the way his father had once taught him to hunt deer, striking
with cunning precision, laughing as he time and again outwits the law,
until two men successfully piece ...",['fiction']
6.8577881286647555,5,8.901355070195986,0590438263,The Man in the Woods,Rosemary Wells,1991,Scholastic Paperbacks (Mm),"Fourteen-year-old Helen Curragh attempts to discover the identity of a
man she has seen running from the scene of a car accident.",['mystery and detective stories.']
6.8577881286647555,5,8.901355070195986,0141309725,The Man in the Woods,Rosemary Wells,2000,Puffin Books,"Fourteen-year-old Helen Curragh attempts to discover the identity of a
man she has seen running from the scene of a car accident.",['juvenile fiction']
6.8577881286647555,5,8.901355070195986,1875989285,How To Be a Man,John Birmingham,2000,Duffy & Snellgrove,"This is an often tongue-in-cheek handbook. Thematically organized to
cover the full range of masculine endeavor, it puts the
&quot;Man&quot; back in manhood.",['fiction']
6.853352982855342,5,8.89204126399622,0451124383,Man From St Petersburg,Ken Follett,1983,Penguin Putnam~mass,"These odds would have stopped any man in the world-except the man from
St. Petersburg.",['great britain']
6.853352982855342,5,8.89204126399622,0451143272,Man from St Petersburg,Ken Follett,1983,Signet Book,"These odds would have stopped any man in the world-except the man from
St. Petersburg.",['great britain']
6.825847746874166,5,8.834280268435748,0373760752,"Memorable Man (Man Of The Month) (Silhouette Desire, No 1075)",Joan Hohl,1997,Silhouette,"A Memorable Man by Joan Hohl released on Apr 24, 1997 is available now
for purchase.",['fiction']
6.809554188750876,5,8.80006379637684,0452267250,The Richest Man in Babylon,George S. Clason,1991,Penguin Putnam,"The richest man in Babylon shares the secret of his wealth with his
friends.",['business & economics']
6.807698026277457,5,8.796165855182661,0679723137,Invisible Man,Ralph Ellison,1989,Random House~trade,"A black man&#39;s search for success and the American dream leads him
out of college to Harlem and a growing sense of personal rejection and
social invisibility",['african american men']
6.807698026277457,5,8.796165855182661,0825300088,The Earthquake Man,William L. Heath,1981,Beaufort Books,"When a troll, a throwback to prehistoric times, gives the O&#39;Grady
family a lot of misery, a peculiar man appears and vows to rid the
family of the troll.",['trolls']
6.784196664519266,5,8.746812995490458,0879518642,The Dice Man,Luke Rhinehart,1998,Overlook Press,"There was a man sent by Chance, whose name was Luke .... And Chance
was made flesh ... and he dwelt among us, full of chaos, and falsehood
and whim. -- from The Book of the Die",['fiction']
6.784196664519266,5,8.746812995490458,0800751213,The Mark of a Man,Elisabeth Elliot,1983,Revell,"What marks a real man? One who follows Jesus&#39; model of
responsibility, sacrifice, courage, and more. A perennial bestseller
from a best-loved author.",['religion']
6.783471768572873,5,8.745290714003035,0743236149,Man and Wife : A Novel,Tony Parsons,2004,Touchstone,"A brilliant sequel to the international bestseller Man and Boy, Tony
Parsons&#39; Man and Wife is a story about families -- and love -- in
the new century, written with his trademark humor, passion, and superb
storytelling that have made ...",['fiction']
6.773999702647406,5,8.725399375559553,0595193021,The Man Who Loved Funerals,Maryanne Raphael,2001,Authors Choice Press,"The Man Who Loved Funerals is the story of Charlie, a homeless man who
reads the obituaries each day and chooses a funeral.",['fiction']
6.772124864419642,5,8.72146221528125,068410217X,Last Angry Man,Gerald Green,1956,Simon & Schuster,"A doctor, living in the Brooklyn slums, conducts a one-man campaign
against hoodlums.",['fiction']
6.761641195133871,5,8.69944650978113,067187618X,MAN PLUS,Frederick Pohl,1994,Baen,"Volunteering to be the next transformed cyborg of the Man Plus Project
for the colonization of Mars, Roger Torroway is unaware that the
Project is being secretly manipulated by an unknown group of shadowy
planners. Reprint.",['fiction']
6.761641195133871,5,8.69944650978113,0786006463,The Hanged Man,T. J. MacGregor,1999,Pinnacle Books,"A tale of what is possible, what is unthinkable, and what lies just
beyond the realm of our conscious minds, THE HANGED MAN will terrify
you from first page to last",['fiction']
6.761641195133871,5,8.69944650978113,0060805536,The Missing Man,Hillary Waugh,1981,Harpercollins,"Police Chief Fred Fellows and Detective sergeant Sidney Wilks
meticulously piece together clues to reveal the identity of and find
the man who murdered a girl on a Connecticut beach",['fiction']
6.7399759367055445,5,8.653949467081643,0316648604,Java Man,Garniss Curtis,2000,Little Brown & Co,"JAVA MAN is the scientific narrative of a landmark discovery,
involving the fascinating adventure of the Dutch physician Eugene
Dubois and his search for early humans in Java in the East Indies a
century ago.",['social science']
6.7399759367055445,5,8.653949467081643,0393090663,Environment and Man,Richard H. Wagner,1978,W W Norton & Co,"Studies the way in which man has influenced and been influenced by the
environment throughout human history, examining life cycles,
pollution, and urban problems, population growth, and control.
Bibliogs",['ecology']
6.7399759367055445,5,8.653949467081643,1575662663,The Hanged Man,T. J. MacGregor,1998,Kensington Publishing Corporation,"A Florida detective races against time to solve the murder of a famous
criminologist and the disappearance of the man&#39;s beautiful wife,
in the latest mystery by the author of &quot;Storm Surge&quot;.",['fiction']
6.734150138892104,5,8.64171529167342,0440241294,May the Best Man Die,DEBORAH DONNELLY,2003,Dell,Original. May the Best Man Die,['fiction']
6.7191490121388835,5,8.610212925491656,044970422X,The Hooded Man,Jay Bennett,1993,Fawcett Books,"Cory is certain that the hooded man who has been following him around
blames him for the death of Fred, who fell to his death while playing
a fraternity prank. Original.",['horror stories.']
6.7191490121388835,5,8.610212925491656,0345380673,No Man in the House,Cecil Foster,1992,Ballantine Books,"As Barbados struggles for its independence from Great Britain in 1963,
a young black man born into abject poverty takes his first courageous
steps toward creating a hopeful future.",['fiction']
6.71304273216298,5,8.597389737542258,000628003X,Dead Man Walking,Helen Prejean,1996,Zondervan Publishing Company,"Although she abhors his crime, she befriends one man as he faces the
electric chair. Dead Man Walking is Helen Prejean&#39;s gripping true
story, which formed the basis for a major motion picture event.",['social science']
6.702788359638877,5,8.575855555241642,0373711026,North Country Man,Carrie Alexander,2002,Harlequin,"North Country Man by Carrie Alexander released on Nov 22, 2002 is
available now for purchase.",['fiction']
6.702788359638877,5,8.575855555241642,1551669420,Mad About The Man,Stella Cameron,2002,Mira,"Mad About The Man by Stella Cameron released on Sep 24, 2002 is
available now for purchase.",['fiction']
6.702788359638877,5,8.575855555241642,0679732330,"Nature, Man and Woman",Alan W. Watts,1991,Vintage Books USA,"Nature, Man and Woman is a book of great elegance and far-reaching
implication -- one of those rar",['religion']
6.702788359638877,5,8.575855555241642,037319658X,A Whole New Man,Roxann Delaney,2003,Harlequin,"A Whole New Man by Roxann Delaney released on Mar 25, 2003 is
available now for purchase.",['fiction']
6.699113386200727,5,8.568138111021527,0375410627,Ava's Man,Rick Bragg,2001,Alfred A. Knopf,"The author continues his personal history of the Deep South with an
evocation of his mother&#39;s childhood in the Appalachian foothills
during the Great Depression and the inspiring story of the man who
raised her.",['biography & autobiography']
6.699113386200727,5,8.568138111021527,078601654X,Ice-Man,Ron Cutler,2004,Pinnacle Books,"Beautiful prison psychologist Holly Alexander finds herself the target
of a vicious and murderous sociopath, Jason Briscoe, a man convicted
of a brutal sex slaying, after she approves his parole. Original.",['fiction']
6.699113386200727,5,8.568138111021527,0451167848,The Killing Man,Mickey Spillane,1990,New Amer Library,"Back after a nineteen-year hiatus, Mike Hammer discovers a dead man
sitting in his office chair and is off on an adventure involving a
mysterious toolbox, a drug ring, two women, and the CIA",['fiction']
6.699113386200727,5,8.568138111021527,0345386302,The Shadow Man,John Katzenbach,1996,Ballantine Books,"A chilling novel by the author of Just Cause follows detective Simon
Winter&#39;s attempts to track down a killer of Holocaust survivors in
Miami, a man who once collected Jews for the Nazis.",['fiction']
6.699113386200727,5,8.568138111021527,0375724443,Ava's Man,Rick Bragg,2002,Vintage Books USA,"The author continues his personal history of the Deep South with an
evocation of his mother&#39;s childhood in the Appalachian foothills
during the Great Depression and the inspiring story of the man who
raised her.",['biography & autobiography']
6.699113386200727,5,8.568138111021527,0399125663,Answer As a Man,Taylor Caldwell,1982,Putnam Pub Group,"An honest man faces personal disgrace and intimate betrayal as his
marriage becomes a scandal, as he sees greed prevail over generosity,
and as he resists the corruption that has engulfed his town",['fiction']
6.687978486444032,5,8.544754821532468,0373761597,"Montana Man (Man Of The Month/The Benning Legacy) (Desire , No 1159)",Jackie Merritt,1998,Silhouette,"A Montana Man by Jackie Merritt released on Jun 24, 1998 is available
now for purchase.",['fiction']
6.6874448440560155,5,8.543634172517633,0575075015,Son of Man (Sf Collector's),Robert Silverberg,2003,Gollancz,What has followed is the time of the Son of Man.,['fiction']
6.679823752894426,5,8.527629881078294,0553574957,The Burning Man,Phillip Margolin,1997,Bantam Books,"An arrogant attorney attempts to improve his character by becoming the
public defender of a retarded man on trial for murder Unemployed and
disinherited, Peter takes the only job he is offered--that of a public
defender in a small Oregon ...",['fiction']
6.679823752894426,5,8.527629881078294,0525209859,Sting Man,Robert W. Greene,1981,Penguin USA,"Profiles the ABSCAM sting man, Mel Weinberg, who sold the FBI on the
idea of setting himself up as a business representative of a wealthy
Arab sheik and who personally handled almost every contact and payoff","['abscam bribery scandal, 1980-']"
6.670615568460894,5,8.508292693767878,0553244574,Son of a Wanted Man,LOUIS L'AMOUR,1997,Bantam,"Mike Bastian struggles to decide whether to follow in the footsteps of
his outlaw father or become an honest man",['fiction']
6.670615568460894,5,8.508292693767878,0373260717,Man In The Green Chevy,Susan Cooper,1991,Worldwide Library,"The Man In The Green Chevy by Susan Rogers Cooper released on Mar 25,
1991 is available now for purchase.",['fiction']
6.661240339780171,5,8.488604713538361,0553270087,The Breeds of Man,F.M. Busby,1988,Spectra Books,"In a future world where fear and suspicion reign and disease limits
population growth, the Mark Twos, a remarkably adaptable breed of man
able to survive when normal humans cannot, emerge as a new kind of
humanity",['fiction']
6.661240339780171,5,8.488604713538361,0385499248,Nowhere Man,ALEKSANDAR HEMON,2002,Nan A. Talese,"Jozef Pronek, a young man from Sarajevo who stayed in the U.S. and
watched the war at home on TV, journeys from Sarajevo to the Soviet
Union, Shanghai, and Chicago as he deals with the complexities and
emotional upheavals of adolescence, ...",['fiction']
6.661240339780171,5,8.488604713538361,0425193748,The Spinning Man,George Harrar,2004,Blue Hen,"Follows the story of family man Evan Birch, whose accused involvement
in the disappearance of a high-school cheerleader appears to be a case
of mistaken identity until elusive clues and inconclusive behaviors
suggest a darker side to his ...",['fiction']
6.661240339780171,5,8.488604713538361,039914983X,The Spinning Man,George Harrar,2003,Blue Hen Books,"Follows the story of family man Evan Birch, whose accused involvement
in the disappearance of a high-school cheerleader appears to be a case
of mistaken identity until elusive clues and inconclusive behaviors
suggest a darker side to his ...",['fiction']
6.654183671416536,5,8.473785709974727,0373706642,"Man Of My Dreams  (Family Man) (Harlequin Superromance, No 664)",Margot Dalton,1995,Harlequin,"Man Of My Dreams by Margot Dalton released on Aug 25, 1995 is
available now for purchase.",['fiction']
6.654183671416536,5,8.473785709974727,0373762674,"Her Forever Man (Man Of The Month) (Silhouette Desire, 1267)",Ronnie Banks,2000,Silhouette,"Her Forever Man by Leanne Banks released on Dec 24, 1999 is available
now for purchase.",['fiction']
6.654183671416536,5,8.473785709974727,0373708068,"Man Called Jesse (Love That Man!) (Harlequin Superromance , No 806)",Casper K. H.,1998,Harlequin,"A Man Called Jesse by K.N. Casper released on Aug 25, 1998 is
available now for purchase.",['fiction']
6.654183671416536,5,8.473785709974727,0373059256,"Mysterious Mountain Man (Man Of The Month) (Silhouette Desire, No 925)",Annette Broadrick,1995,Silhouette,"Mysterious Mountain Man by Annette Broadrick released on Mar 24, 1995
is available now for purchase.",['fiction']
6.639950671522542,5,8.44389641019734,0747256861,Man's Loving Family,Keith Heller,1999,Headline Book Publishing,"October 1727: George Man, late of London&#39;s Parish Watch, is out of
work and becoming desperate.",['fiction']
6.626040001314634,5,8.414684002760733,0805420479,The Abolition of Man,C. S. Lewis,2000,Broadman & Holman Pub,"The Abolition of Man, Lewis uses his graceful prose, delightful humor,
and keen understanding of the human mind to challenge our notions
about how to best teach our children--and ourselves--not merely
reading and writing, but also a sense ...",['religion']
6.626040001314634,5,8.414684002760733,1583144285,Comfort of a Man,Adrianne Byrd,2003,Bet Books,"Tired of blind dates and unsuccessful relationships, single mother and
business owner Brooklyn Douglas unexpectedly finds the man of her
dreams in Isaiah Washington - a high-powered executive who will stop
at nothing to get what he wants.",['fiction']
6.609355289892028,5,8.379646108773258,0802137954,The Ginger Man,J. P. Donleavy,2001,Grove Press,"Dangerfield&#39;s appetite for women, liquor, and general roguishness
is insatiable--and he satisfies it with endless charm. &quot;Lusty,
violent, wildly funny ... The Ginger Man is the picaresque novel to
stop them all.&quot;--Dorothy Parker, Esquire",['fiction']
6.609355289892028,5,8.379646108773258,0440328861,Ginger Man,J P Donleavy,1994,Bantam Doubleday Dell,"Dangerfield&#39;s appetite for women, liquor, and general roguishness
is insatiable--and he satisfies it with endless charm. &quot;Lusty,
violent, wildly funny ... The Ginger Man is the picaresque novel to
stop them all.&quot;--Dorothy Parker, Esquire",['fiction']
6.593239497282309,5,8.34580294429285,0679428852,The Shadow Man,Mary Gordon,1996,Random House Inc,"For a long time she was content to remember David Gordon as the man
who had loved her &#39;more than God&#39; and then vanished. In this
book on of our finest novelists sets out to retrieve her father from
the mausoleum of mourning.",['biography & autobiography']
6.582738881478707,5,8.323751651105285,0671228846,STAND BY YR MAN,Tammy Wynette,1979,Simon & Schuster,"In Stand By Your Man, Tammy Wynette, the queen of Country Western,
tells the inspiring story of her ascent from rags to riches.",['country musicians']
6.582738881478707,5,8.323751651105285,0312253117,The Better Man : A Novel,Anita Nair,2000,Picador,"A middle-aged man returns to the Indian town where he was born, where
he is tested and forced to confront his past.",['fiction']
6.582738881478707,5,8.323751651105285,0152517200,The Man With the Silver Eyes,William O. Steele,1976,Harcourt Inc (J),"Until he learns the reason for the arrangement, a young Cherokee boy
has mixed emotions about living for a year with a white man.",['cherokee indians']
6.577663572312055,5,8.313093501855317,0440179165,Sensuous Man,M,1972,Dell,"Women want more. The good news is that you can give it to them! Here
is an expert&#39;s guide to becoming the kind of lover that every
woman dreams of, written by a man who may be the world&#39;s most
accomplished sexual superstar.",['social science']
6.566267903689147,5,8.289162597747211,0312963335,The Way to a Man's Heart (Way to Man's Heart),Christine Dorsey,1997,St. Martin's Press,"Four enterprising heroines share their favorite batch of sweet and
spicy love recipes for finding the way to a man&#39;s heart, in four
romantic tales by Christine Dorsey, Patricia Hagan, Linda Madl, and
Penelope Neri. Original.",['fiction']
6.562908688838335,5,8.282108246560504,0373760000,"Man Of Ice (Man Of The Month, Celebration 1000) (Silhouette Desire, No 1000)",Diana Palmer,1996,Silhouette,"Man Of Ice by Diana Palmer released on Mar 25, 1996 is available now
for purchase.",['fiction']
6.562601230586263,5,8.281462584231154,1573225320,The Holy Man,Susan Trott,1996,Riverhead Books,"In a witty parable about pilgrims seeking answers from a holy man,
each chapter tells another personal tale of human problems and shows
that gurus&#39; cures never really cure anyone, they simply reveal the
good things that are hidden from view ...",['fiction']
6.562601230586263,5,8.281462584231154,0671578197,The Multiplex Man,James P. Hogan,1999,Baen,"Waking up one morning in another city and in the body of a stranger,
teacher Richard Jarrow begins a desperate pursuit of his true identity
in a world where individual expression is prohibited HE HAD A
STRANGER&#39;S FACE -- AND A DEAD MAN&#39;S ...",['fiction']
6.562601230586263,5,8.281462584231154,1573220027,The Holy Man,Susan Trott,1995,Putnam Pub Group,"In a witty parable about pilgrims seeking answers from a holy man,
each chapter tells another personal tale of human problems and shows
that gurus&#39; cures never really cure anyone, they simply reveal the
good things that are hidden from view ...",['fiction']
6.556011974852184,5,8.267625147189586,0807062995,The Female Man (Bluestreak),Joanna Russ,2000,Beacon Press,"The lives of Joanna and Jeannine interact with the world of Janet
Evason after the female man from a planet of the future arrives in New
York City",['fiction']
6.556011974852184,5,8.267625147189586,0812564995,The Man in the Iron Mask,Alexandre Dumas,1998,Tor Books,"Aramis bribes his way into the Bastille where a man held prisoner for
eight years unknowingly has the power to dethrone the King of France",['fiction']
6.556011974852184,5,8.267625147189586,0736900462,"Jesus, Man of Joy",Sherwood E. Wirt,1999,Harvest House Publishers,"For those who think of Jesus as humorless and stoic, Sherwood Wirt
offers a fresh look at the most joyful man who ever lived.",['religion']
6.548027571099142,5,8.250857899308198,0688160948,The Mitt Man,Mel Taylor,1999,William Morrow & Company,"Expertly evoking black life in the south in the late 1920s, &quot;The
Mitt Man&quot;, set in the world of gospel choirs and chain gangs,
explores the dodgy realm where grifters get religion, reverends get
rich, and a perfect scam might just pay off ...",['fiction']
6.536122123552101,5,8.225856459459413,0310243076,Seven Seasons of the Man in the Mirror,Patrick Morley,2002,Zondervan Publishing Company,"In Patrick Morley&#39;s true sequel to The Man in the Mirror a man is
taken beyond the day-to-day problems he faces and is confronted with
seven major seasons of life that can make him or break him.",['religion']
6.530430168644793,5,8.213903354154066,0425094723,Let No Man Divide,Elizabeth Kary,1987,Berkley Publishing Group,"Two lovers--a fiery green-eyed belle and a powerful man--are thrown
together during the tumultuous era of the Civil War and then are
driven apart by the fighting",['fiction']
6.530430168644793,5,8.213903354154066,0689708009,Confessions of an Advertising Man,David Ogilvy,1988,Simon & Schuster,"David Ogilvy was an advertising genius. Confessions of an Advertising
Man is the distillation of all the successful Ogilvy concepts, tactics
and techniques that made the book an international bestseller.",['business & economics']
6.530430168644793,5,8.213903354154066,1561797146,A Man Called Norman,Mike Adkins,1999,Focus on the Family Publishing,"A heartwarming tale about one man&#39;s willingness to reach out and
touch the life of his neglected, elderly neighbor. Mass paper",['religion']
6.530430168644793,5,8.213903354154066,1556590636,The Book of the Dead Man,Marvin Bell,1994,Copper Canyon Press,"A series of thirty-three poems describe the feelings and experiences
of a dead man as he expresses the knowledge and wisdom gains on the
boundary between life and death",['poetry']
6.529113873810839,5,8.211139135002764,0373761414,"Passionate G - Man (Man Of Month/The Lawless Heirs) (Desire , No 1141)",Dixie Browning,1998,Silhouette,"The Passionate G-Man by Dixie Browning released on Mar 25, 1998 is
available now for purchase.",['fiction']
6.506636911763151,5,8.163937514702617,0756401119,The Marked Man Omnibus: The Marked Man/the Last Recall,Charles Ingrid,2002,Daw Books,"In holocaust L.A., a group of humans turns to genetic manipulation to
maintain survival of the race, a decision that has terrifyingly
consequences in The Marked Man, while in The Last Recall, devastated
by an accident that mutated the human ...",['fiction']
6.505921353693931,5,8.162434842757255,0688118976,Man from the Sky,Avi,1992,HarperTrophy,"In an almost failproof scheme, a man parachutes from an airplane with
a large amount of money, only to be seen by a boy who has a reputation
for seeing things in the clouds.",['outlaws']
6.505921353693931,5,8.162434842757255,0440351839,Man and His Symbols,Carl G. Jung,1997,Dell Publishing Company,"Explores Jung&#39;s psychological concepts regarding the nature,
function and importance of man&#39;s symbols as they appear on both
the conscious and subconscious level",['self-help']
6.505921353693931,5,8.162434842757255,068809368X,The First Man in Rome,Colleen McCullough,1990,Harpercollins,"A story tracing the creation of Republican Rome presents those who
founded an empire, including Marius and Sulla, each determined to
become the First Man of Rome",['fiction']
6.505921353693931,5,8.162434842757255,0385052219,Man and His Symbols,CARL GUSTAV JUNG,1969,Doubleday,"Explores Jung&#39;s psychological concepts regarding the nature,
function and importance of man&#39;s symbols as they appear on both
the conscious and subconscious level",['social science']
6.496941082632856,5,8.143576273528998,0373708483,"Man From High Mountain (Love That Man) (Harlequin Superromance, 848)",Peter David,1999,Harlequin,"The Man From High Mountain by Kay David released on May 25, 1999 is
available now for purchase.",['fiction']
6.496941082632856,5,8.143576273528998,0373708319,"Man I Used To Know  (Love That Man) (Harlequin Superromance, 831)",Margot Dalton,1999,Harlequin,"A Man I Used To Know by Margot Dalton released on Feb 22, 1999 is
available now for purchase.",['fiction']
6.4892335296456,5,8.12739041225576,0373763824,"Loving Man (Desire, 1382)",Cait London,2001,Silhouette,"A Loving Man by Cait London released on Jul 25, 2001 is available now
for purchase.",['fiction']
6.4892335296456,5,8.12739041225576,0373291086,Marrying Man (Harlequin Historical),Millie Criswell,2000,Harlequin,"The Marrying Man by Millie Criswell released on Mar 24, 2000 is
available now for purchase.",['fiction']
6.4892335296456,5,8.12739041225576,0373120869,"Man To Marry (Presents, 2086)",Carole Mortimer,2000,Harlequin,"A Man To Marry by Carole Mortimer released on Jan 25, 2000 is
available now for purchase.",['fiction']
6.4892335296456,5,8.12739041225576,0373123167,An Enigmatic Man  (Do Not Disturb!),Carole Mortimer,2003,Harlequin,"An Enigmatic Man by Carole Mortimer released on Mar 25, 2003 is
available now for purchase.",['fiction']
6.486601631672297,5,8.121863426511824,0373619065,"Sunflash (Stony Man #22) (Stony Man, No 22)",Don Pendleton,1996,Gold Eagle,"When a series of deadly nuclear accidents occur, setting off violent
civil unrest, the Stony Man teams are called upon to outrun a
satellite that is targeting a major American nuclear plant. Original.",['fiction']
