score,user_rating,es_scaled_score,isbn,book_title,book_author,year_of_publication,publisher,summary,category
4.0259719535984795,0,8.454541102556806,0373510039,"Irish Rose # 3  (Language Of Love) (Language of Love, No 3)",Nora Roberts,1992,Silhouette,"Packaged with a flower of love on the front cover, the &quot;Language
of Love&quot; series continues with another love story by the best-
selling author. Reissue.",['fiction']
4.019604571519496,0,8.44116960019094,156171139X,A Forbidden Love,Chayym Zeldis,1992,S.P.I. Books,"Raised near one another in their separate homes--and worlds--in
Israel, Israeli Uri and Palestinian Layleh develop a fierce and
forbidden love for one another, a love that must withstand prejudice
and hatred. Reprint.",['fiction']
4.019604571519496,0,8.44116960019094,0671743686,For Love Alone,Ivana Trump,1992,Pocket Books,"Katrinka Graham is driven to risk everything--love, freedom, success,
and wealth--because of a secret from her past, in a story of love,
ambition, and determination set against the glamorous backdrop of the
very rich.",['fiction']
4.008618714972557,0,8.41809930144237,1577484681,Love Notes,Barbour Books,2000,Barbour Publishing,"A collection of romantic, poetic love quotations from antiquity to the
modern age.",['love']
4.008618714972557,0,8.41809930144237,0892839759,The Blessings of Love,Mother Teresa,1996,Charis Books,"A joyful heart is the normal result of a heart burning with love.
Mother Teresa",['religion']
4.008618714972557,0,8.41809930144237,0913367494,Loving God,Charles Colson,1995,Billy Graham Evangelistic Association,A book that shows that when you love God your life is blessed.,['christian life']
4.00793826310613,0,8.416670352522873,0449905535,Anatomy of Loving: The Story of a Man's Quest to Know What Love Is,Martin S. Bergmann,1991,Ballantine Books,"A psychoanalyst looks at the portrayal of love in poems from Homer to
Shakespeare, discusses Freud&#39;s writings on love, and examines the
relationship between narcissism and love",['psychology']
4.007669297661716,0,8.416105525089604,0373871848,Loving Treasures (Love Inspired (Numbered)),Gail Gaymer Martin,2002,Steeple Hill,"Loving Treasures by Gail Gaymer Martin released on May 24, 2002 is
available now for purchase.",['fiction']
4.007669297661716,0,8.416105525089604,0373871686,Love For Safekeeping (Love Inspired (Numbered)),Gail Gaymer Martin,2002,Steeple Hill,"A Love For Safekeeping by Gail Gaymer Martin released on Dec 25, 2001
is available now for purchase.",['fiction']
3.985473958496525,0,8.369495312842703,0375420908,Flights of Love : Stories,BERNHARD SCHLINK,2001,Pantheon,"A collection of short fiction about love explores the mysteries of the
human heart and the complex emotional aspects of love.",['fiction']
3.984660378670036,0,8.367786795207076,0517584166,All for Love,Pat Booth,1993,Crown Publishing Group (NY),"The choices she makes about life and love collide in a violent and
startling climax. With a message that speaks directly to men and women
in the nineties, All for Love is seductive, dramatic, shocking, and
undoubtedly Pat Booth at her best.",['fiction']
3.984660378670036,0,8.367786795207076,014029287X,What Is Love?,Ita Buttrose,2000,Penguin Books Australia Ltd.,"She has suffered heartbreak, loss and loneliness, much of it caused by
her demanding media magnate father. When she meets Jack Clements,
there is the possibility of finally finding love, but his love comes
with conditions.",['publishers and publishing']
3.984660378670036,0,8.367786795207076,0812523121,Love Child,Andrew Neiderman,1986,Tor Books (Mm),"Carol, a normal teenaged girl yearning for her first love, finds
herself torn between her gentle human side and a predatory Amazon
alter-ego that threatens to turn her love into a horrific bloodlust",['fiction']
3.974238103175195,0,8.34590001666791,0785813322,Love Poems,Johanna Brownnell,2001,Book Sales,"A collection love poems from famous and lesser-known poets of the
English language.",['poetry']
3.974238103175195,0,8.34590001666791,0312957912,For the Love of Chocolate,Margaret Brownley,1996,Tor Books,"Sit back with your favorite chocolate treat and devour these
scrumptious love stories!",['fiction']
3.9678631344282023,0,8.332512582299225,1568493347,Love Story,Erich Segal,1997,Buccaneer Books Inc,"The story of a rich Harvard jock and a wisecracking Radcliffe music
major who have nothing in common but love . . . and everything to
share but time. Over 21 million copies of Love Story have been sold in
33 languages.",['fiction']
3.9514921886744943,0,8.298133596216438,0880016280,Endless Love,Scott Spencer,1999,Ecco,"Published in 1979 and hailed as &quot;one of the best books of the
year&quot; by the New York Times, Endless Love is the novel that first
established Scott Spencer as &quot;the contemporary American master of
the love story&quot; (Publishers Weekly).",['fiction']
3.9514921886744943,0,8.298133596216438,0743419219,Timeless Love,Judith O'Brien,2002,Simon Pulse,"Provides a time-traveling love story where a modern day girl is
transported to the time of Henry VI and falls in love with an Irish
nobleman only to be sent back to the present that she no longer
recognizes due to her involvement in those ...",['juvenile fiction']
3.9427082721996918,0,8.279687371619353,0871236168,"Love's Unending Legacy (Love Comes Softly, Book 5)",Janette Oke,1984,Bethany House Publishers,"The sequel to Love&#39;s Abiding Joy and fifth in the Love Comes
Softly series Prairie romance.",['accident victims']
3.941590503113031,0,8.277340056537366,0394565150,The Habit of Loving,Barbara Lazear Ascher,1989,Random House Inc,"Confronting middle age the author reflects on family, loving, career,
and that life is a bit of a cheat",['social science']
3.941590503113031,0,8.277340056537366,0373160623,Verdict Of Love,Author Unknown,1984,Harlequin,"Verdict Of Love by Beverly Sommers released on May 25, 1984 is
available now for purchase.",['women lawyers']
3.941590503113031,0,8.277340056537366,037383313X,Love Game,Mallory Rush,1995,Harlequin,"Love Game by Mallory Rush released on May 25, 1995 is available now
for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,0373612583,For the Love of Mike!,Muriel Jensen,2003,Harlequin,"For The Love Of Mike! by Muriel Jensen released on Jan 24, 2003 is
available now for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,0373261977,Love Bytes,Sally Chapman,1996,Worldwide Library,"Love Bytes by Sally Chapman released on Feb 23, 1996 is available now
for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,1551660318,Lady Love,Diana Palmer,1995,Mira Books,"Lady Love by Diana Palmer released on Feb 22, 1995 is available now
for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,0373111541,Loving Gamble,Flora Kidd,1989,Harlequin,"The Loving Gamble by Flora Kidd released on Jan 25, 1989 is available
now for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,0373512090,To Love and Cherish,Diana Palmer,2002,Silhouette,"To Love And Cherish by Diana Palmer released on Aug 23, 2002 is
available now for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,1551667916,Loving Jessie,Dallas Schulze,2002,Mira Books,"Loving Jessie by Dallas Schulze released on Dec 25, 2001 is available
now for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,1551667886,No Other Love,Candace Camp,2001,Mira,"No Other Love by Candace Camp released on Jan 25, 2001 is available
now for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,0373029128,Recipe For Love,Kay Clifford,1988,Harlequin,"Recipe For Love by Kay Clifford released on Apr 22, 1988 is available
now for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,1551662868,Elusive Love,Catherine Lanigan,1997,Mira,"Elusive Love by Catherine Lanigan released on Jun 24, 1997 is
available now for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,0373872259,A Love Beyond,Kate Welsh,2003,Steeple Hill,"A Love Beyond by Kate Welsh released on Jul 25, 2003 is available now
for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,0373872151,A Love to Keep,Cynthia Rutledge,2003,Steeple Hill,"A Love To Keep by Cynthia Rutledge released on Apr 24, 2003 is
available now for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,0373218257,Love By Design,Nora Roberts,2003,Silhouette Books,"Love By Design by Nora Roberts released on Aug 25, 2003 is available
now for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,0373245262,Loving Leah,Nikki Benjamin,2003,Silhouette,"Loving Leah by Nikki Benjamin released on Feb 21, 2003 is available
now for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,037387197X,Love At Last,Irene Brand,2002,Steeple Hill,"Love At Last by Irene Brand released on Oct 25, 2002 is available now
for purchase.",['fiction']
3.941590503113031,0,8.277340056537366,1576738167,Redeeming Love,Francine Rivers,2001,Multnomah,"This is a life-changing story of God&#39;s unconditional, redemptive,
all-consuming love.",['fiction']
3.941590503113031,0,8.277340056537366,0373109695,To Speak Of Love,Claudia Jameson,1987,Harlequin,"To Speak Of Love by Claudia Jameson released on Feb 20, 1987 is
available now for purchase.",['fiction']
3.9355320068029864,0,8.264617214286272,0671536613,A Gift of Love,Judith McNaught,1996,Pocket,"A Gift Of Love captures holiday magic as it transports us...to New
York City, where a schoolteacher slips an antique gold ring on her
finger and travels back in time to a man who desperately needs her
love...to a village in Victorian ...",['fiction']
3.9320695960316403,0,8.257346151666445,0821217712,Art & Love : An Illustrated Anthology of Love Poetry,Kate Farrell,1990,Bulfinch,"Scores of evocative love poems, drawn from the entire range of world
literature, are matched with wonderfully vibrant works of art--
paintings, sculpture, prints, collages, and stained glass to create an
elegant anthology of love peoms and ...",['poetry']
3.9320695960316403,0,8.257346151666445,0312118635,The Name of Love: Classic Gay Love Poems,Michael Lassell,1995,St Martins Pr,"Classic Gay Love Poems A beautifully produced gift book that captures
the classic expression of love between men, ranging from the ancients
(Catullus and Martial) through the Renaissance (Shakespeare and
Michelangelo) to the moderns (W H ...",['poetry']
3.9106842239938873,0,8.212436870387164,0393057593,Conditions of Love: The Philosophy of Intimacy,John Armstrong,2003,W.W. Norton & Company,"A philosophical treatise on the essential nature of love reflects on
the process of falling in love, the frequently awkward transition from
romantic passion to mature love, and the yearnings for a lasting,
long-term love.",['philosophy']
3.9105480252396307,0,8.212150853003225,0618006990,Equal Love,Peter Ho Davies,2000,Mariner Books,"A collection of short stories examines the imbalance of love between
parents and children and the changing roles of the generations.",['fiction']
3.9105480252396307,0,8.212150853003225,0395604788,Love Enter,Paul Kafka,1993,Houghton Mifflin,"An odyssey into the subtle entanglements of love follows four young
Americans as they discover the bohemian splendor of Paris",['fiction']
3.9105480252396307,0,8.212150853003225,0895293676,Love Tactics,Thomas W. McKnight,1987,Avery Publishing Group,"Helps readers learn the most effective ways of developing meaningful
relationships, intimacy, and ultimately love.",['social science']
3.9105480252396307,0,8.212150853003225,0517142988,Love Poems,Random House Value Publishing,1996,Gramercy Books,"Celebrate that all-encompassing, head-over-heels, anything-for-you
emotion with these beautiful love poems.","['love poetry, american']"
3.9105480252396307,0,8.212150853003225,0809166526,Puppy Love,Christine Simpson,1998,Paulist Press,"All kinds of children learn how to treat others by watching puppies
express their unconditional love.",['juvenile nonfiction']
3.9105480252396307,0,8.212150853003225,0553275283,Love Story,Erich Segal,1988,Bantam Books,"Depicts the love and marriage of a wealthy Harvard hockey player and a
brilliant Radcliffe music student Story.",['fiction']
3.9047832413625048,0,8.20004480686126,0670894923,Secret Love,Bart Schneider,2001,Viking Books,"The author revists mid-1960s San Francisco in a novel centered around
the live of lovely Nisa Bohem, a politically active young African-
American actress who crosses the color line when she falls in love
with Jake Roseman, a widowed attorney ...",['fiction']
3.9038547777061656,0,8.198095033182948,0194228169,And All for Love.... (Oxford Bookworms Collection),Diane Mowat,2001,Oxford University Press,"&quot;What sad, appalling, and surprising things people do in the name
of love, and for the sake of love. These short stories give us love
won and love lost, love revenged, love thron away, love in triumph,
love in despair.",['foreign language study']
3.897396355611074,0,8.184532346783255,0394708172,Pursuit of Love and Love in a Cold Climate,Mitford,1982,Random House Inc,"The snobbery and false values of the English country nobility are
satirized in these two love stories involving the well-established
Radlett and Hampton families",['fiction']
3.892635540800473,0,8.174534635680994,1584792256,Love's Book of Answers,Carol Bolt,2002,"Stuart, Tabori and Chang","Provides answers to questions about love where the reader can open up
any page and find a short phrase on an aspect of love.",['family & relationships']
3.8899661174710203,0,8.168928846689143,0440159032,Men in Love,Nancy Friday,1992,Dell Publishing Company,"Much more than a litany of erotica, this unique volume doesn&#39;t
tell us how men should love. It tells us how men do love -- a stunning
insight into the desires that dwell within men&#39;s psyches... and
their hearts.",['psychology']
3.880995424455235,0,8.150090391355993,0373835450,The Trouble With Love,Jasmine Cresswell,2003,Harlequin,"The Trouble With Love by Jasmine Cresswell\Kristin Gabriel released on
Jan 24, 2003 is available now for purchase.",['fiction']
3.880995424455235,0,8.150090391355993,0679803866,Ducklings Love,Lisa McCue,1991,Random House Childrens Books,"Ducklings love waddling, walking, fishing, drinking, and sleeping all
cozy with their beaks tucked under their wings.",['ducks']
3.880995424455235,0,8.150090391355993,1551664356,In Love'S Shadow,Catherine Lanigan,1998,Mira,"In Love&#39;s Shadow by Catherine Lanigan released on Sep 24, 1998 is
available now for purchase.",['fiction']
3.880995424455235,0,8.150090391355993,0310470307,Loving God,Charles W. Colson,1983,Zondervan Publishing Company,"Discusses obedience, the Bible, sin, repentance, and the best ways to
show one&#39;s love for God",['religion']
3.880995424455235,0,8.150090391355993,1551669188,Love In Bloom's,Judith Arnold,2002,Mira,"Love In Bloom&#39;s by Judith Arnold released on May 24, 2002 is
available now for purchase.",['fiction']
3.880995424455235,0,8.150090391355993,0451405684,Second Love,Judith Gould,1998,Onyx Books,"Hunt Winslow is her only escape, offering comfort, passion, and a most
dangerous second chance at love.",['fiction']
3.880995424455235,0,8.150090391355993,0451400518,To Love a Rogue,Valerie Sherwood,1987,Onyx Books,"Lovely Lorraine London had a sensuous charm that seemed to ignite the
passions of every scoundrel in New England.",['historical fiction']
3.875503399356528,0,8.138557138648709,0440146291,Love and Glory,Robert B. Parker,1989,Dell Publishing Company,"After separating from his love, Jennifer Grayle, when he was twenty-
two, Boone Adams disintegrates, hitting bottom in the streets of Los
Angeles ten years later, when he realizes that all he has left is his
love for Jennifer Grayle",['fiction']
3.875503399356528,0,8.138557138648709,0688149898,Love Poems,Nikki Giovanni,1997,William Morrow,"Now, Love Poems brings together these and other favorites with over
twenty new poems. Romantic, bold, and erotic, Love Poems will once
again confirm Nikki Giovanni&#39;s place among the country&#39;s most
renowned poets and truth tellers.",['poetry']
3.8728462592038513,0,8.132977144328088,0373872585,"Love Is Patient (Love Inspired, No. 248)",Carolyne Aarsen,2004,Steeple Hill,"When Lisa Sterling applies to be Dylan Matheson&#39;s new assistant,
she discovers the meaning of love and family in the process. Original.",['fiction']
3.863891462063894,0,8.114172070334178,0440146577,Loving,Danielle Steel,1981,Dell,"When her father, the famous author Justin Daniels dies, Bettina--who
has always been protected, pampered and surrounded by wealth--finds
herself plagued with debts and hounded by men who utter empty promises
and meaningless words of love",['fiction']
3.857956881331329,0,8.101709450795791,037387152X,"Loving Thy Neighbor (Love Inspired, No. 145)",Ruth Scofield,2001,Steeple Hill,"Loving Thy Neighbor by Ruth Scofield released on Jul 25, 2001 is
available now for purchase.",['fiction']
3.8578927559231584,0,8.101574787438633,1850156409,The Love Between Mothers and Daughters (The Love Between Series),Helen Exley,1997,Exley Giftbooks,"Features quotations and images reflecting on the love between mothers
and daughters.",['family & relationships']
3.8528279324873393,0,8.090938658223413,0849935091,The Love Killer,Josh McDowell,1993,W Publishing Group,"Relates the experiences of Krystal Wayne and her friends at Eisenhower
High as they struggle to understand the relationship between love and
sex.",['christian life']
3.8528279324873393,0,8.090938658223413,0553563289,Love Storm,SUSAN JOHNSON,1995,Fanfare,"This erotic romance, long out of print, returns for the fans of the
bestselling author of Pure Sin, Seized by Love and Outlaw.",['fiction']
3.850210170754329,0,8.085441358584092,0316852678,Whatever Love Means,David Baddiel,2000,Little Brown,"Part-satire, part-love story, part-whodunnit, and part-meditation on
the nature of sex and death, Whatever Love Means is truly a tale for
our times",['adultery']
3.8498698545036394,0,8.084726694457643,0871234017,"Love's Abiding Joy (Love Comes Softly, Book 4)",Janette Oke,1983,Bethany House,"The fourth book in the Love Comes Softly series and the sequel to
Love&#39;s Long Journey. Prairie romance fiction for all ages.",['christian fiction']
3.8498698545036394,0,8.084726694457643,0871238284,"Love Comes Softly (Love Comes Softly, Book 1)",Janette Oke,1985,Baker Pub Group,"A marriage of convenience blooms into heartfelt love in an Old West
homestead. Over 1 million sold! Love Comes Softly Book 1.",['christian fiction']
3.8368796725227035,0,8.057447312297677,0064430979,"Honey, I Love and Other Love Poems (Reading Rainbow Series)",Eloise Greenfield,1986,HarperTrophy,"An ALA Notable Children&#39;s Book HONEY, I LOVE and other love poems
Ages 7 to 11 Love don&#39;t mean all that kissing Like on television
Love Means Daddy Saying keep your mama company till I get back And me
doing it Sixteen poems tell of love and ...",['juvenile nonfiction']
3.8340306980503707,0,8.051464465905779,0840755171,Be Happy-You Are Loved,Robert Schuller,1986,Thomas Nelson Inc,"After explaining how God&#39;s love is the ultimate foundation for
healthy self-esteem, the celebrated minister discusses the Bible&#39;s
&quot;love chapter&quot;--I Corinthians 13--and turns its powerful
message into a prescription for a love-filled life",['god']
3.8308977654325584,0,8.044885307408373,0268013314,Loves Mind: An Essay on Contemplative Life,John S. Dunne,2000,University of Notre Dame Press,"Love&#39;s Mind is the story of how unknowing love becomes knowing
love when one comes to the realization that our being in love may be
God loving in us, and that our blind love may be God&#39;s
unconditional love in us.",['religion']
3.826927409174515,0,8.036547559266483,0883961822,Love Isn't Always Easy,Susan P. Schutz,1983,Blue Mountain Arts,"This is a collection of poems about the aspects of love which are
often buried inside of us. Love is never easy - but the rewards are
worth it. There is no substitute for love and we&#39;re all lucky if
we find a true love in our lives.",['poetry']
3.825949993446022,0,8.034494986236647,0879515031,Love's Mansion,Paul West,1993,Overlook Press,"How does this couple survive the grave disillusionments of life and
love?This is the personal novel West fans have been waiting for.",['fiction']
3.825949993446022,0,8.034494986236647,0373218354,In Love and War,Merline Lovelace,2003,Silhouette,"In Love And War by Merline Lovelace\Lindsay McKenna\Candace Irvin
released on Jul 25, 2003 is available now for purchase.",['fiction']
3.825949993446022,0,8.034494986236647,0310231051,Patterns of Love,Robin Lee Hatcher,2001,Zondervan Publishing Company,"Swedish immigrant Inga Linberg, a pastor&#39;s daughter agrees to a
marriage of convenience in hope of finding real love.",['fiction']
3.8153711074472803,0,8.01227932563929,1556610351,"Love Takes Wing (Love Comes Softly, Book 7)",Janette Oke,1988,Bethany House,Sequel to Love&#39;s unfolding dream.,['boston (mass.)']
3.8101507573172766,0,8.001316590366281,0749710616,A Little Love Song,Michelle Magorian,1993,Egmont Childrens Books,"A magical summer of love and war is the catalyst that changes Rose
from an uncertain, gawky schoolgirl into a confident and assured
woman. This love story is written by the author of Goodnight Mister
Tom.",['domestic fiction']
3.8101507573172766,0,8.001316590366281,1878995235,Private Reflections on Love,James Kavanaugh,1995,Steven J. Nash Publishing,"PRIVATE REFLECTIONS ON LOVE was written while the author lived in San
Francisco. James Kavanaugh wandered the city streets to capture the
mystique of love, life and pain in urban America.",['family & relationships']
3.8052472408941256,0,7.991019205877664,0373872542,Second Chance At Love (Love Inspired),Irene Brand,2004,Steeple Hill,"When severe flooding in southern West Virginia reunites a divorced
couple, they find that their newfound Christianity offers them the
foundation they need for a second chance at love. Original.",['fiction']
3.8002754444588938,0,7.980578433363677,0373218281,Love is Murder,Rebecca Brandewyne,2003,Silhouette Books,"Love Is Murder by Rebecca Brandewyne\Maureen Child\Linda Winstead
Jones released on Jan 24, 2003 is available now for purchase.",['fiction']
3.8002754444588938,0,7.980578433363677,0393045897,The Book of Love,Diane Ackerman,1998,W. W. Norton & Company,"An anthology of more than two hundred excerpts of poetry, fiction, and
memoirs, both classic and contemporary, pertaining to the many moods
of love",['literary collections']
3.790947094236969,0,7.960988897897635,0743448731,Love Frustration : A Novel,RM Johnson,2003,Simon & Schuster,"Sexy and real, Love Frustration candidly confronts what happens when
people have what they don&#39;t want and love what they can&#39;t
have.",['fiction']
3.7845291343712595,0,7.947511182179645,1850156441,A Token of Love (Assorted Love Themes),Helen Exley,1997,Exley Giftbooks,"A Token of Love features 64 pages of the finest poetry and classic art
paintings, capturing the essence of romance. A timeless keepsake.
Poetry with matching paintings selected by Helen Exley.",['family & relationships']
