isbn,cluster,cluster_rating
0020418809,2,0.0
0020421907,3,8.0
0020427859,3,0.0
0020434901,3,8.0
0020435207,1,8.0
0020435207,2,9.0
0020441509,2,0.0
0020442203,0,3.0
0020442203,1,5.666666666666667
0020442203,2,5.0
0020442203,3,10.0
0020442300,0,4.0
0020442408,0,6.0
0020442505,0,0.0
0020518307,1,0.0
0020518501,1,10.0
0020518501,2,0.0
0020518501,3,7.0
002054555X,0,6.0
0020790317,3,0.0
0020821255,3,5.0
0020868308,1,9.0
0020868308,3,0.0
0020885709,0,10.0
0025196359,2,3.0
0025354817,0,7.0
002542730X,0,7.0
002542730X,1,5.666666666666667
002542730X,3,5.0
0025474804,1,8.0
002550665X,1,0.0
0025631403,2,0.0
002588591X,1,6.0
0026217457,1,9.0
0026890380,1,10.0
0027153800,0,0.0
0027185605,0,1.0
0027382001,2,8.0
0027563405,1,0.0
0027583600,0,8.0
0027583600,1,0.0
0027701301,3,10.0
0028604202,1,9.0
0028604202,2,0.0
0028609980,2,0.0
0028610083,0,7.0
0028612302,1,0.0
0028612787,0,8.0
0028629078,3,5.0
0028631870,0,7.0
0028633121,1,5.0
0028634926,0,1.0
0028635949,0,7.0
0028635949,1,0.0
0028639456,1,10.0
0028639693,1,10.0
0028639820,1,0.0
0028640055,0,7.0
0028640055,3,0.0
0028642082,1,5.0
0028644034,2,0.0
0028645243,0,4.0
0028740025,2,9.0
0029023807,1,0.0
0029105501,0,0.0
0029177766,0,7.0
0029197821,1,8.0
0029234905,1,6.0
0029256208,2,0.0
0029281113,0,0.0
0029283752,2,0.0
0029350352,2,0.0
0030074312,0,8.0
0030098750,2,0.0
0030157188,0,5.0
0030310105,1,10.0
0030363160,1,8.0
0030615526,3,0.0
0030624363,0,9.0
0030632366,0,0.0
0030640075,1,0.0
0030686784,2,10.0
0030707315,0,0.0
003078395X,0,0.0
0030854903,0,0.0
0044451121,1,0.0
0045720207,1,0.0
0060002093,0,5.0
0060002433,0,0.0
0060002530,0,0.0
0060004320,1,0.0
0060004541,0,0.0
0060005424,0,8.0
0060005548,0,0.0
0060005548,1,0.0
0060007192,3,8.0
0060007575,1,8.0
006000780X,1,3.5
0060008725,1,7.0
0060008776,1,0.0
0060008776,2,5.4
0060008776,3,7.0
0060008865,1,10.0
0060009241,3,0.0
006000925X,1,1.6666666666666667
006001007X,3,7.0
0060011610,0,10.0
006001203X,0,0.0
006001203X,2,5.0
006001203X,3,5.0
0060012811,1,0.0
0060012897,0,7.0
0060013117,2,4.0
0060013125,0,7.0
0060013125,1,9.0
0060013125,2,10.0
0060014342,0,0.0
0060014342,3,3.0
0060081198,1,0.0
0060081597,2,7.0
006008166X,1,7.0
006008166X,3,6.0
0060081988,0,10.0
0060083255,3,0.0
0060083999,1,7.0
006008409X,0,7.0
0060084405,0,6.333333333333333
0060084405,1,8.0
0060084405,2,3.0
0060084405,3,10.0
0060084537,1,0.0
0060085924,3,7.0
0060086629,1,0.0
0060087358,1,6.0
0060087439,1,8.0
0060088613,3,0.0
006008877X,2,0.0
0060090251,1,10.0
0060090324,1,10.0
0060090367,0,10.0
0060090367,1,8.0
0060090367,3,10.0
0060090375,0,0.0
0060090375,2,0.0
0060092130,2,5.0
0060092572,2,5.0
0060092653,2,0.0
0060092661,1,10.0
0060092661,3,8.0
0060094109,3,4.5
0060094850,0,0.0
0060094850,1,5.0
0060094850,2,7.0
0060095288,3,8.0
0060095571,0,8.0
0060096675,0,3.5
0060107278,3,7.0
0060136847,0,0.0
0060139110,0,6.0
0060139145,0,7.0
0060139145,1,0.0
0060139145,2,10.0
0060148934,2,0.0
0060149205,2,0.0
0060149205,3,0.0
0060151641,2,6.0
0060152028,1,10.0
0060152028,3,9.0
0060152583,0,8.5
0060153970,1,5.0
0060155698,0,8.0
0060156961,0,6.0
0060156961,1,0.0
006015781X,3,4.0
0060158050,1,7.0
0060158859,0,0.0
0060159790,2,0.0
0060160276,1,8.0
0060160276,3,8.0
006016042X,3,8.0
0060160713,2,9.0
0060161183,3,4.0
0060161701,1,0.0
0060161701,3,0.0
0060161744,0,0.0
0060162619,2,5.0
0060162767,3,3.0
0060163704,1,8.5
0060163704,3,0.0
0060163747,1,10.0
0060163747,3,8.0
0060164549,1,8.0
0060165839,0,0.0
0060165901,2,0.0
0060165979,0,5.0
0060165979,3,0.0
0060165987,1,0.0
0060166037,1,10.0
0060166673,2,0.0
0060166673,3,9.0
0060166770,0,7.0
0060166851,2,8.0
0060168013,0,10.0
0060168013,1,5.6
0060168013,2,8.0
0060168013,3,4.5
0060168382,0,0.0
0060168609,1,0.0
0060168706,0,6.5
0060168706,1,0.0
0060168706,2,8.0
0060168862,3,8.0
0060168889,1,0.0
0060169443,1,0.0
0060170166,1,7.0
0060170166,2,8.0
0060170441,1,0.0
0060170832,0,0.0
0060171111,0,3.0
0060171162,1,5.0
0060171162,2,7.0
0060171316,1,0.0
0060171626,2,0.0
0060171928,2,0.0
0060171928,3,4.0
0060172096,1,8.0
0060172142,1,9.0
0060172231,2,0.0
0060172231,3,0.0
0060172789,3,0.0
0060173122,2,0.0
0060173629,1,9.0
0060173696,1,0.0
0060173769,2,4.0
0060173793,2,6.0
0060173793,3,0.0
0060173890,3,0.0
0060174633,1,7.0
0060174722,3,10.0
0060174862,3,0.0
006017515X,3,7.0
0060175273,0,6.0
0060175400,0,8.0
0060175400,1,4.666666666666667
0060175400,2,3.5
0060175400,3,6.071428571428571
0060175605,1,5.0
0060175605,2,8.0
0060175869,1,7.0
0060175869,3,8.5
0060175907,1,9.0
0060175931,0,8.0
0060175931,1,0.0
0060175966,0,2.3333333333333335
0060175966,1,5.0
0060175966,3,5.0
0060176059,1,8.0
0060176075,0,0.0
0060176075,3,0.0
0060176148,0,7.0
0060176148,1,4.5
0060176148,2,3.0
006017658X,3,8.0
0060176644,0,6.0
0060176806,0,8.0
0060176806,1,3.0
0060177128,0,8.0
0060177128,1,0.0
0060177217,0,9.0
0060177217,3,0.0
0060177225,3,0.0
0060177233,2,7.0
0060177640,1,8.0
0060177640,3,0.0
0060177721,1,0.0
0060177888,0,0.0
0060177888,1,8.0
0060177888,2,4.0
0060177888,3,5.0
0060178213,3,0.0
0060178221,1,0.0
0060179333,0,8.0
0060179333,2,9.0
006017935X,3,7.0
0060179384,3,5.0
0060179430,3,7.0
0060179457,0,0.0
0060179791,1,8.0
0060182938,3,5.0
0060183225,3,0.0
0060183330,0,0.0
0060183349,3,0.0
0060183357,2,0.0
0060183578,3,7.0
0060183691,3,0.0
0060183772,1,0.0
0060184957,2,8.0
0060184957,3,0.0
0060185082,0,7.0
0060185147,0,2.3333333333333335
0060185147,1,8.5
006018518X,1,9.0
0060185252,3,0.0
0060185406,1,7.0
0060185546,0,8.0
0060185708,1,0.0
0060186267,0,8.0
0060186275,0,8.0
0060186275,1,8.0
0060186275,2,8.0
0060186305,3,9.0
0060186380,1,2.5
0060186429,0,4.0
0060186453,1,7.0
0060187271,0,0.0
0060187271,1,0.0
0060187271,2,0.0
0060187271,3,5.8
0060187395,1,6.0
0060187425,1,8.0
0060187425,3,0.0
0060187468,1,0.0
0060187476,2,7.0
0060187476,3,7.0
0060187689,2,10.0
0060187840,0,8.0
0060187840,1,5.0
0060187840,3,10.0
0060188057,2,7.0
0060188618,1,4.0
0060188731,0,0.0
0060188731,1,5.285714285714286
0060188731,2,0.0
0060188731,3,7.0
0060188952,0,0.0
0060188952,1,8.0
0060188952,3,6.0
0060190094,3,5.0
0060190256,0,0.0
0060190310,1,0.0
0060191015,0,0.0
0060191058,1,5.0
0060191058,3,10.0
0060191252,1,7.0
0060191384,3,8.0
0060191791,1,0.0
0060191821,1,8.0
0060191988,0,0.0
0060191988,1,8.0
0060192305,1,0.0
0060192356,0,0.0
0060192356,3,0.0
0060192488,2,0.0
006019250X,0,10.0
006019250X,2,10.0
0060192801,1,7.0
0060193123,0,0.0
0060193328,1,8.0
0060193328,3,0.0
0060193395,1,0.0
0060193506,1,4.0
0060193611,1,5.0
0060193611,3,3.0
0060194170,1,8.0
0060194219,3,8.0
0060194448,1,5.75
0060194626,0,8.0
0060194650,1,0.0
0060194979,1,4.0
0060194995,1,0.0
006019541X,0,3.5
0060195584,0,8.0
0060195703,0,6.0
0060195703,1,5.0
0060195703,3,3.0
0060196122,1,10.0
006019619X,3,0.0
0060196300,0,0.0
0060196300,3,0.0
0060196319,2,5.0
0060196319,3,8.0
0060196483,1,10.0
0060196793,0,0.0
0060197005,1,3.0
0060197749,1,6.0
0060198303,0,0.0
0060198753,1,4.5
0060198753,3,0.0
0060199334,0,0.0
0060199563,0,4.5
0060199563,1,0.0
006019958X,0,9.0
006019958X,1,8.0
0060199598,1,0.0
0060199652,0,6.0
0060199652,1,3.142857142857143
0060199652,2,7.0
0060199652,3,5.166666666666667
0060199865,0,8.0
0060199865,3,0.0
0060229357,2,10.0
0060230398,1,9.0
0060233346,0,5.0
0060233761,2,6.0
0060234970,1,0.0
0060240210,1,7.0
006024254X,1,5.0
0060245360,0,7.0
0060247827,3,8.0
0060248025,0,10.0
0060248025,1,9.0
0060250631,1,10.0
0060253649,2,8.0
0060256656,1,0.0
0060256656,2,10.0
0060256672,0,8.0
0060256672,1,9.0
0060256672,3,0.0
0060263539,2,6.0
0060264608,0,9.0
0060273240,2,7.0
0060277491,0,4.0
0060278226,0,8.0
0060280646,0,8.0
0060280786,1,10.0
0060280921,2,10.0
0060283122,3,9.0
0060283130,0,8.0
0060283289,0,7.0
0060283971,0,8.0
0060284196,0,0.0
0060287802,1,8.0
0060287802,3,7.0
0060288140,1,10.0
0060289597,0,0.0
0060294655,3,5.0
0060294671,2,7.0
006029471X,3,8.0
0060294884,0,5.0
0060298812,1,0.0
0060380225,2,0.0
0060391448,0,9.0
0060391448,1,5.666666666666667
0060391448,2,5.5
0060391472,0,8.0
0060391472,1,7.0
0060391537,2,3.0
0060391553,1,3.5
0060391626,0,5.0
0060391626,1,5.0
0060391626,2,4.5
0060391626,3,5.666666666666667
0060391677,0,6.5
0060391677,1,0.0
0060391677,3,7.0
0060391685,1,10.0
0060391782,0,3.5
0060391782,1,7.0
0060391863,1,0.0
0060392185,3,0.0
0060392452,0,6.8
0060392452,1,3.3333333333333335
0060392452,2,3.1666666666666665
0060392452,3,8.333333333333334
0060392665,0,4.0
0060392665,1,0.0
0060392827,0,8.0
0060392827,2,0.0
0060392827,3,0.0
0060392991,0,0.0
0060392991,2,6.0
0060393297,3,5.0
0060393459,1,0.0
0060393831,2,0.0
006039384X,0,2.3333333333333335
006039384X,1,9.0
0060393904,2,2.0
0060393920,1,0.0
0060394137,0,8.0
0060394447,0,7.0
0060410132,1,6.0
0060502258,0,3.7058823529411766
0060502258,1,5.529411764705882
0060502258,2,5.636363636363637
0060502258,3,3.5
0060502304,2,8.0
0060502312,2,5.0
0060504080,0,8.666666666666666
0060504080,1,10.0
0060504080,3,0.0
0060505257,1,5.0
0060505257,2,0.0
0060505370,1,4.0
006050563X,1,5.0
0060506512,3,10.0
0060506679,0,4.0
006050675X,1,10.0
0060506989,0,0.0
0060506989,2,10.0
0060506989,3,9.0
0060507403,0,9.0
0060507837,2,8.0
0060508876,1,10.0
0060509058,3,7.0
0060509066,0,10.0
0060509392,0,0.0
0060509392,1,7.0
0060509406,0,7.0
0060512229,0,0.0
0060512601,1,0.0
006051261X,0,7.0
0060512806,0,3.5
0060512806,1,5.0
0060512806,2,0.0
0060512806,3,7.0
0060512822,0,0.0
0060512822,1,7.5
0060512822,2,9.0
0060512822,3,1.25
0060514035,0,0.0
0060514558,0,8.0
0060514558,3,10.0
0060514930,0,0.0
0060514930,1,0.0
0060514957,0,6.0
0060516216,2,6.0
0060516283,0,7.0
0060517182,0,8.0
0060517212,0,0.0
0060517794,0,2.6666666666666665
0060517794,1,10.0
0060517794,3,9.0
0060519134,0,9.0
0060519134,1,7.5
0060520612,2,10.0
0060521546,0,10.0
0060523794,0,0.0
006052510X,3,8.0
006052569X,0,7.0
0060527048,0,8.0
0060529148,1,10.0
0060529148,3,8.0
006052992X,1,7.0
006052992X,2,3.0
0060532149,0,0.0
0060532203,0,5.0
0060532246,0,7.0
0060534044,2,0.0
0060534044,3,6.0
0060537639,1,0.0
0060537957,0,0.0
0060537957,3,4.0
0060539860,0,9.0
0060539860,1,7.0
0060540753,1,4.75
0060542845,0,4.0
006054564X,3,0.0
0060548258,3,9.0
0060548533,0,10.0
0060549270,0,0.0
0060555459,1,0.0
006055584X,1,6.0
0060557540,3,9.0
0060557621,1,10.0
0060558865,0,9.0
0060559128,0,7.5
0060559195,0,8.0
0060559624,1,0.0
0060560797,0,4.0
0060562250,0,10.0
0060565578,0,0.0
0060565578,1,0.0
0060568984,3,9.0
006057559X,1,8.0
006057898X,0,6.0
0060580275,1,8.0
006059036X,1,0.0
0060592141,1,9.0
0060595183,0,0.0
0060612525,1,0.0
0060612525,3,7.0
0060613998,0,6.0
0060617225,1,0.0
006061725X,3,8.0
0060627573,0,0.0
0060628391,1,0.0
0060634642,3,0.0
0060639059,3,8.0
0060645881,2,0.0
0060647361,3,3.5
0060652934,0,0.0
0060652934,1,2.6666666666666665
0060652934,2,10.0
0060652934,3,8.0
0060670223,3,0.0
006067055X,3,0.0
0060723521,3,9.0
006072448X,1,0.0
0060733993,0,5.0
0060735414,1,7.0
0060739428,0,8.0
0060761555,0,10.0
0060761555,1,0.0
0060801263,0,8.0
0060801921,1,10.0
0060804157,3,0.0
0060805072,1,5.0
0060807792,1,9.0
0060808144,3,6.0
0060808934,1,0.0
0060809590,0,0.0
0060809779,1,8.0
0060809779,3,0.0
0060830956,0,7.5
0060905204,1,6.0
0060905662,1,9.0
006090674X,2,7.0
0060907924,1,10.0
0060908548,1,5.0
0060909927,1,0.0
0060909927,3,2.0
0060909994,0,9.0
0060910690,1,0.0
006091307X,0,3.0
006091307X,1,4.0
006091307X,2,6.333333333333333
0060914165,3,0.0
0060914440,0,7.0
0060914653,0,4.0
0060914653,1,7.0
0060914653,2,6.0
0060914653,3,0.0
0060914947,0,9.0
0060915153,0,3.0
0060915188,0,0.0
0060915188,1,0.0
0060915188,3,10.0
0060915412,1,0.0
0060915439,0,0.0
0060915455,0,9.5
0060915455,2,0.0
006091565X,0,4.5
006091565X,1,8.5
0060916087,0,9.0
0060916338,0,0.0
0060916338,2,8.0
0060916508,0,5.0
0060916508,1,0.0
0060916508,2,10.0
0060916508,3,5.333333333333333
0060919647,1,10.0
0060919655,3,7.0
0060919884,1,7.0
0060919949,1,9.0
0060920076,1,0.0
0060920386,0,8.0
0060920386,1,0.0
0060920475,0,7.0
0060920785,1,0.0
0060921625,1,0.0
0060922583,3,9.0
0060923245,1,9.5
0060923288,2,4.0
0060923296,0,7.0
006092330X,0,0.0
0060923326,0,0.0
0060923717,3,10.0
0060924322,2,5.0
0060924586,0,0.0
0060924594,1,10.0
0060924837,0,8.0
0060924837,1,8.0
0060924837,2,7.0
0060924985,1,5.0
0060924985,2,0.0
0060924993,0,8.0
0060925485,0,0.0
0060925485,1,7.0
0060925493,2,10.0
0060925515,2,10.0
0060925760,0,0.0
0060925795,0,0.0
006092585X,1,0.0
0060925884,0,7.0
0060925973,0,9.0
0060926058,1,0.0
0060926201,0,7.0
0060926201,1,3.5
0060926201,2,9.0
006092635X,3,6.0
0060926708,1,10.0
0060927240,0,7.75
0060927240,2,0.0
0060927488,1,0.0
0060927488,2,10.0
0060927542,1,0.0
0060927542,3,0.0
0060927569,1,9.333333333333334
0060927860,0,0.0
0060927860,1,0.0
0060927860,2,8.0
0060927941,1,0.0
0060928069,0,0.0
0060928247,0,0.0
0060928336,0,5.357142857142857
0060928336,1,3.8275862068965516
0060928336,2,4.875
0060928336,3,5.173913043478261
0060928360,2,0.0
0060928379,0,0.0
0060928514,0,9.0
0060928514,3,10.0
0060928832,1,9.0
0060928867,0,0.0
006092893X,1,7.0
0060929227,2,8.0
0060929499,1,9.0
0060929693,3,9.5
0060929707,0,0.0
0060929790,0,3.5
0060929790,1,0.0
0060929804,0,5.0
0060929847,1,8.0
0060929952,0,4.0
0060930071,2,5.0
0060930187,0,8.333333333333334
0060930187,1,0.0
0060930187,2,10.0
0060930314,0,6.0
0060930314,1,0.0
0060930683,1,9.0
0060930861,0,3.5
0060930861,1,8.0
0060930888,1,9.0
006093090X,0,3.5
006093090X,1,2.4
006093090X,2,0.0
0060930934,0,10.0
0060931078,2,8.0
0060931175,1,10.0
0060931280,0,8.0
0060931280,1,0.0
0060931302,0,9.0
0060931388,0,8.0
0060931388,1,8.0
0060931396,0,10.0
0060931418,0,7.0
0060931418,1,3.5
0060931418,2,0.0
0060931418,3,3.5
0060931671,0,9.0
0060931671,3,9.0
0060931809,0,7.0
0060931892,1,0.0
0060931906,1,7.0
0060931906,3,8.0
0060931914,0,0.0
0060931914,1,8.0
0060932058,0,0.0
0060932139,0,4.833333333333333
0060932139,1,7.0
0060932139,3,0.0
0060932287,0,0.0
0060932678,1,6.0
0060932694,2,8.0
0060932813,0,0.0
0060932813,1,5.5
0060932813,2,7.5
0060932902,0,7.0
0060932902,1,8.5
0060932902,2,0.0
0060933216,0,8.0
0060933577,1,6.0
0060933755,2,0.0
0060934425,0,0.0
0060934425,1,3.0
0060934425,2,8.0
0060934425,3,0.0
0060934808,1,0.0
006093493X,1,0.0
0060934972,2,0.0
0060935332,1,0.0
0060935332,3,9.5
0060935731,0,10.0
0060935839,1,0.0
0060935979,0,0.0
0060936363,1,0.0
0060936363,2,8.0
0060936363,3,10.0
0060936460,0,9.0
0060936703,1,0.0
0060937262,0,10.0
006093770X,0,5.0
0060937726,3,7.0
0060937939,1,0.0
0060938293,1,5.0
0060938412,3,5.0
0060952423,0,8.0
0060952423,1,6.0
0060952768,3,0.0
0060952970,0,4.0
0060952970,3,8.0
0060953020,0,7.0
0060953020,1,9.0
0060953020,2,10.0
0060953055,3,0.0
0060953101,0,6.0
0060953225,1,0.0
006095342X,0,0.0
0060953675,0,5.5
0060953691,2,0.0
0060953691,3,7.0
0060953713,1,0.0
0060953748,0,9.0
0060953748,1,8.0
0060953748,2,9.0
0060953748,3,8.0
0060955570,1,0.0
0060955570,2,3.0
0060955775,0,8.5
0060955775,1,8.0
0060955775,2,5.666666666666667
0060955775,3,8.0
0060955872,0,6.0
0060955872,1,0.0
0060956119,1,7.0
0060956135,0,0.0
0060956135,2,4.0
0060956135,3,6.0
0060956283,0,3.0
0060956445,0,4.0
0060956445,2,8.0
0060956496,1,6.0
0060956496,2,8.0
0060956690,2,7.0
0060956860,2,3.0
0060957328,0,5.0
0060957409,2,7.0
0060958294,2,8.0
0060958340,1,8.0
0060958340,2,0.0
0060958901,3,6.0
0060959355,0,8.0
0060959436,1,7.0
0060959436,2,6.0
0060959444,0,7.0
0060959460,2,8.0
0060959479,0,9.0
0060959479,1,10.0
006095955X,1,6.0
0060959606,0,7.0
0060959665,1,7.0
0060959681,0,8.0
0060959754,3,8.0
0060964049,0,4.5
0060964049,1,9.5
0060964049,2,5.333333333333333
0060966122,1,0.0
0060969083,3,5.0
006096975X,0,9.0
0060969776,1,5.0
0060969806,1,5.0
0060970790,1,9.5
0060970790,2,0.0
0060970790,3,5.5
0060971185,1,7.0
0060971479,0,5.0
0060971479,1,7.0
006097169X,0,0.0
0060971819,1,0.0
0060971835,0,0.0
0060971878,0,0.0
0060972084,1,9.0
0060972254,3,0.0
0060972459,0,5.0
0060972459,2,0.0
0060972610,3,9.0
0060972769,0,0.0
0060972777,1,0.0
0060972777,3,7.0
0060972912,0,0.0
0060973323,0,0.0
0060973323,2,9.0
0060973595,0,8.0
0060973757,3,10.0
0060973897,0,8.0
0060973897,1,10.0
0060974060,3,10.0
0060974486,2,7.0
0060974516,0,0.0
0060974621,2,0.0
0060974893,1,3.0
0060974990,1,10.0
0060974990,3,9.0
0060975040,2,7.0
0060975091,0,9.0
0060975369,0,0.0
0060975369,2,0.0
0060975458,1,10.0
0060975466,2,10.0
0060975598,0,7.0
0060975598,3,0.0
0060975776,0,2.5
0060975776,3,7.0
006097611X,0,9.0
0060976241,0,4.0
0060976241,1,0.0
0060976241,2,8.0
0060976322,1,0.0
0060976446,0,8.0
0060976446,2,5.0
0060976497,0,5.0
0060976497,1,0.0
0060976497,2,4.333333333333333
0060976624,1,0.0
0060976845,0,2.5
0060976845,1,4.733333333333333
0060976845,2,7.5
0060976845,3,4.7
0060976926,0,5.0
0060976926,2,0.0
0060976969,0,8.5
0060976977,1,0.0
0060976977,2,7.0
0060977264,0,8.0
0060977264,1,9.0
0060977280,1,0.0
0060977337,0,5.0
0060977337,1,8.0
0060977337,2,9.0
0060977337,3,8.0
0060977477,0,0.0
0060977477,2,3.5
0060977493,0,4.888888888888889
0060977493,1,5.857142857142857
0060977493,2,3.6
0060977493,3,5.75
006097754X,0,7.0
0060982020,0,8.0
0060984333,1,0.0
0060984422,1,0.0
0060987049,0,0.0
0060987049,1,4.0
0060987049,2,5.666666666666667
0060987103,0,3.6363636363636362
0060987103,1,6.357142857142857
0060987103,2,5.5
0060987103,3,4.833333333333333
006098726X,0,7.0
006098726X,1,0.0
0060987464,0,0.0
0060987529,0,6.166666666666667
0060987529,1,2.5
0060987529,2,5.0
0060987529,3,3.5
0060988096,0,3.0
006098824X,0,2.6
006098824X,1,3.5
006098824X,2,4.666666666666667
0060988649,1,4.0
0060989157,1,4.0
0060989238,1,6.0
0060995068,0,0.0
0060995106,1,6.0
0060995122,3,8.0
0060995149,0,9.0
0060995149,2,0.0
0060997028,0,8.0
0060997028,1,0.0
0061000027,0,5.0
0061000027,1,10.0
0061000027,2,0.0
0061000027,3,4.5
0061000043,0,9.0
0061000043,1,7.0
0061000043,2,4.5
0061000043,3,6.0
0061000078,0,10.0
0061000078,2,7.0
0061000078,3,8.0
0061000175,0,1.5555555555555556
0061000175,1,1.6
0061000175,2,5.25
0061000175,3,4.2
0061000205,1,0.0
0061000299,1,0.0
0061000299,2,8.0
0061000299,3,8.0
0061000760,0,1.0
0061001376,0,10.0
0061001821,3,0.0
0061002259,1,0.0
0061002828,0,10.0
0061002852,2,5.0
0061002879,1,0.0
0061003352,1,0.0
0061003638,0,9.0
0061003654,0,0.0
0061003697,2,8.0
0061003719,0,0.0
0061003727,2,5.0
0061003824,0,0.0
006100491X,2,9.0
0061005339,2,5.0
0061005428,1,0.0
0061006599,1,8.0
0061006629,3,0.0
0061007145,0,9.0
0061007145,1,0.0
0061007153,0,0.0
0061007161,0,7.0
0061007161,1,7.0
0061007226,0,7.0
0061007536,2,5.0
0061008095,1,0.0
0061008095,3,7.0
0061009032,2,9.0
0061009431,0,9.0
0061009431,1,7.0
0061009504,0,0.0
0061009504,2,6.0
0061009504,3,8.0
0061010065,0,9.0
0061010251,2,0.0
0061010650,3,5.0
0061010901,1,8.0
0061011509,0,5.0
0061011509,3,7.0
0061011703,0,0.0
0061012165,1,8.0
0061012203,0,8.0
0061012203,1,7.0
0061012203,2,0.0
0061012289,0,9.0
0061012289,2,0.0
0061012467,1,5.0
0061012475,1,3.5
0061012548,0,10.0
0061012882,1,0.0
0061013005,1,7.0
0061013250,0,0.0
0061013315,0,0.0
0061013315,3,0.0
0061013412,0,7.0
0061013412,1,8.0
0061013412,3,7.0
0061013420,1,10.0
0061013420,3,9.0
0061013439,1,10.0
006101351X,0,4.5
006101351X,1,4.0
006101351X,2,3.2857142857142856
006101351X,3,4.090909090909091
0061013617,1,0.0
0061013625,3,6.0
0061013706,0,0.0
0061013722,1,8.0
0061013722,3,0.0
0061013889,0,0.0
0061014060,3,7.0
0061014176,0,8.0
0061014176,1,6.0
0061014176,3,0.0
0061014591,1,5.333333333333333
0061014591,3,0.0
0061015075,0,4.0
0061015075,1,3.0
0061015075,2,0.0
0061015512,1,0.0
0061015725,0,5.0
0061015725,1,5.090909090909091
0061015725,2,3.5
0061015725,3,7.0
0061020001,0,0.0
0061020028,0,0.0
0061020095,2,0.0
0061020206,1,0.0
0061020257,1,0.0
0061020362,0,0.0
0061020613,3,7.0
0061020621,2,9.0
0061020648,2,0.0
0061020656,0,3.25
0061020656,1,0.0
0061020656,3,8.0
0061020680,1,8.0
0061020702,0,3.0
0061020710,0,6.25
0061020710,1,7.6
0061020710,2,3.5
0061020710,3,5.0
0061020761,3,10.0
0061030015,2,4.0
0061030023,0,3.0
006103004X,0,8.0
006103004X,1,5.0
0061030147,0,6.0
0061030244,1,0.0
0061030597,0,2.0
0061030597,1,8.0
0061030597,3,10.0
0061030635,0,10.0
0061030635,1,6.5
0061030635,3,7.0
0061030643,0,8.0
0061030643,1,0.0
0061030643,2,1.0
0061030643,3,6.0
0061030651,3,3.5
006103083X,0,0.0
0061030864,3,10.0
006103097X,0,8.0
0061030996,0,8.0
0061030996,1,0.0
0061030996,2,6.0
0061030996,3,7.0
006103102X,0,6.0
0061031070,0,0.0
0061031070,1,3.5
0061031070,2,6.0
0061031070,3,0.0
0061031089,1,7.0
0061031089,2,7.0
0061031151,0,10.0
0061031410,1,2.25
0061031410,2,3.5
0061031410,3,8.333333333333334
0061031429,0,0.0
0061031429,1,5.333333333333333
0061031429,2,4.0
0061031429,3,0.0
0061031445,0,8.0
0061031445,1,3.5
0061031534,0,0.0
0061031534,1,8.0
0061031569,1,5.0
0061031844,0,3.5
0061031844,3,7.0
006103200X,2,0.0
006103200X,3,10.0
0061032034,0,3.5
0061032042,0,0.0
0061032042,1,8.0
0061032069,3,5.0
0061032093,0,4.0
0061032093,1,5.333333333333333
0061032093,2,8.0
0061032093,3,0.0
0061032417,0,7.0
0061032425,1,8.5
0061040282,1,7.0
0061040347,0,0.0
0061040347,1,0.0
0061040347,2,9.0
0061040347,3,7.0
0061040576,1,0.0
0061041998,1,5.0
